ticker,name,sector,sub_industry,ai_density_2021,mda_length,note
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0.0,313324, full_text_fallback
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,0.0,383166, full_text_fallback
BIIB,Biogen,Health Care,Biotechnology,0.0,729322, full_text_fallback
BLK,BlackRock,Financials,Asset Management & Custody Banks,,0,no_filing_found
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,0.136,1271604, full_text_fallback
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,0.0429,592236, full_text_fallback
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,,0,no_filing_found
BA,Boeing,Industrials,Aerospace & Defense,0.0,514251, full_text_fallback
BSX,Boston Scientific,Health Care,Health Care Equipment,0.0,644603, full_text_fallback
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0.0,688135, full_text_fallback
AVGO,Broadcom,Information Technology,Semiconductors,0.1023,497559, full_text_fallback
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,0.0187,461621, full_text_fallback
BRO,Brown & Brown,Financials,Insurance Brokers,0.0,442555, full_text_fallback
BLDR,Builders FirstSource,Industrials,Building Products,0.0,9117, full_text_fallback
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,0.029,300990, full_text_fallback
CDNS,Cadence Design Systems,Information Technology,Application Software,0.0,197689, full_text_fallback
COF,Capital One,Financials,Consumer Finance,0.0,455773, full_text_fallback
CAH,Cardinal Health,Health Care,Health Care Distributors,0.0,423189, full_text_fallback
CARR,Carrier Global,Industrials,Building Products,0.0335,485696, full_text_fallback
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,0.0,626789, full_text_fallback
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,0.0,633184, full_text_fallback
CDW,CDW Corporation,Information Technology,Technology Distributors,0.0229,383471, full_text_fallback
COR,Cencora,Health Care,Health Care Distributors,0.0,433317, full_text_fallback
CNC,Centene Corporation,Health Care,Managed Health Care,0.0623,541107, full_text_fallback
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0.0154,571584, full_text_fallback
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,0.0,659804, full_text_fallback
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.0,500317, full_text_fallback
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,0.0,586385, full_text_fallback
CB,Chubb Limited,Financials,Property & Casualty Insurance,0.0,537463, full_text_fallback
CIEN,Ciena,Information Technology,Communications Equipment,0.1203,546575, full_text_fallback
CI,Cigna,Health Care,Health Care Services,0.0221,790821, full_text_fallback
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0.0,824720, full_text_fallback
CTAS,Cintas,Industrials,Diversified Support Services,0.0,290396, full_text_fallback
CSCO,Cisco,Information Technology,Communications Equipment,0.1034,513327, full_text_fallback
C,Citigroup,Financials,Diversified Banks,0.0,834748, full_text_fallback
CFG,Citizens Financial Group,Financials,Regional Banks,0.0224,859023, full_text_fallback
CME,CME Group,Financials,Financial Exchanges & Data,0.0,430155, full_text_fallback
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,0.4204,433239, full_text_fallback
COHR,Coherent Corp.,Information Technology,Electronic Components,0.0,506089, full_text_fallback
COIN,Coinbase,Financials,Financial Exchanges & Data,0.0116,662240,used 2022 filing full_text_fallback
CMCSA,Comcast,Communication Services,Cable & Satellite,0.0,502923, full_text_fallback
FIX,Comfort Systems USA,Industrials,Construction & Engineering,0.0,414295, full_text_fallback
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0.0337,589237, full_text_fallback
COO,Cooper Companies (The),Health Care,Health Care Supplies,0.0,530710, full_text_fallback
CPRT,Copart,Industrials,Diversified Support Services,0.0213,378128, full_text_fallback
GLW,Corning Inc.,Information Technology,Electronic Components,0.0,298357, full_text_fallback
